Date,High_Moderna,Low_Moderna,Open_Moderna,Close_Moderna,Volume_Moderna,Adj Close_Moderna,High_Inovio Pharmaceuticals,Low_Inovio Pharmaceuticals,Open_Inovio Pharmaceuticals,Close_Inovio Pharmaceuticals,Volume_Inovio Pharmaceuticals,Adj Close_Inovio Pharmaceuticals,High_Novavax,Low_Novavax,Open_Novavax,Close_Novavax,Volume_Novavax,Adj Close_Novavax,High_BioNTech,Low_BioNTech,Open_BioNTech,Close_BioNTech,Volume_BioNTech,Adj Close_BioNTech
07-01-2020,18.31999969,17.68000031,18.14999962,17.78000069,1461400,17.78000069,3.190000057,3.039999962,3.160000086,3.150000095,1123500,3.150000095,4.659999847,4.53000021,4.599999905,4.570000172,1024000,4.570000172,48.84999847,41.18000031,47.40000153,43.34000015,562100,43.34000015
08-01-2020,18.07999992,17.76000023,17.98999977,17.97999954,1041600,17.97999954,3.200000048,3.069999933,3.190000057,3.140000105,631500,3.140000105,4.599999905,4.260000229,4.559999943,4.28000021,1790100,4.28000021,46.33000183,44.18000031,44.29999924,45.09999847,193900,45.09999847
09-01-2020,18.54999924,17.89999962,18,18.39999962,1495700,18.39999962,3.190000057,3.039999962,3.150000095,3.099999905,1026900,3.099999905,4.260000229,3.940000057,4.25,4.010000229,2095000,4.010000229,46.70999908,42.70999908,46.54999924,43.27000046,234900,43.27000046
10-01-2020,21,19.04999924,21,19.13999939,4504700,19.13999939,3.180000067,3.039999962,3.180000067,3.109999895,715800,3.109999895,4.050000191,3.910000086,4,3.930000067,1682100,3.930000067,44.99000168,38.20999908,44.99000168,39.68000031,369100,39.68000031
13-01-2020,20.36000061,18.60000038,19.26000023,20.26000023,2207500,20.26000023,3.450000048,3.069999933,3.140000105,3.309999943,1881700,3.309999943,4,3.650000095,3.970000029,3.950000048,1766900,3.950000048,41.31999969,35.25999832,41.00999832,37.83000183,459400,37.83000183
14-01-2020,20.49799919,19.54999924,20.45000076,20,1782800,20,3.440000057,3.289999962,3.339999914,3.289999962,1418900,3.289999962,4.050000191,3.769999981,3.910000086,3.99000001,924700,3.99000001,35.47499847,33.22000122,35.29999924,34.52999878,266300,34.52999878
15-01-2020,20.57999992,19.94000053,19.94000053,20.23999977,2055000,20.23999977,3.430000067,3.230000019,3.299999952,3.349999905,987000,3.349999905,4.599999905,4.260000229,4.46999979,4.380000114,5107000,4.380000114,39.84999847,33.59999847,35.29999924,34.54999924,361000,34.54999924
16-01-2020,21.87000084,20.77000046,21.68000031,21.01000023,4918400,21.01000023,3.430000067,3.319999933,3.400000095,3.400000095,733800,3.400000095,4.849999905,4.489999771,4.5,4.78000021,4380200,4.78000021,35.90000153,31.27499962,35.75,32.25,692100,32.25
17-01-2020,21.5,20.54999924,21.5,20.62000084,3348400,20.62000084,3.440000057,3.230000019,3.440000057,3.289999962,738500,3.289999962,5.809999943,4.760000229,4.880000114,5.739999771,9559900,5.739999771,33.59999847,30.32999992,33.04999924,33.18000031,615100,33.18000031
21-01-2020,21.48999977,20.64500046,20.79000092,20.94000053,2089600,20.94000053,3.75,3.390000105,3.519999981,3.559999943,6385600,3.559999943,9.989999771,7.320000172,9.149999619,9.819999695,55305200,9.819999695,36.54000092,33.51300049,33.79000092,36.54000092,264500,36.54000092
22-01-2020,23.20000076,21.70000076,22.07999992,21.96999931,10920700,21.96999931,3.559999943,3.329999924,3.549999952,3.440000057,2001600,3.440000057,8.5,6.800000191,8.380000114,7.090000153,16921200,7.090000153,39.02999878,36.75,37.61000061,38.88000107,318200,38.88000107
23-01-2020,22.64999962,21.39999962,22.17000008,21.46999931,3663900,21.46999931,4.099999905,3.609999895,3.890000105,3.839999914,12313600,3.839999914,8.140000343,7.239999771,7.880000114,7.659999847,16709400,7.659999847,37.54999924,35.31000137,37.20999908,36.70000076,192900,36.70000076
